prompt,completion,opposite_sent
sister is an antonym of <extra_id_0>,"['ss', 'sibling', 'person', 'darling', 'sisters', 'member', 'sister', 'nun', 'affiliate', 'sis']",sister is a synonym of <extra_id_0>
sister is a synonym of <extra_id_0>,['brother'],sister is an antonym of <extra_id_0>
certificate is an antonym of <extra_id_0>,"['security', 'certificate', 'document', 'certificates']",certificate is a synonym of <extra_id_0>
disease is an antonym of <extra_id_0>,"['sickness', 'malady', 'ailment', 'disease', 'complaint', 'coath', 'illness', 'thesaurus:disease', 'affliction', 'diseases', 'morbus', 'rot']",disease is a synonym of <extra_id_0>
disease is a synonym of <extra_id_0>,"['well', 'cure', 'wellness', 'healthy', 'health']",disease is an antonym of <extra_id_0>
cry is an antonym of <extra_id_0>,"['sound', 'blubber', 'sob', 'weep', 'effusion', 'exclaim', 'bawl', 'cry', 'utterance', 'cries', 'shout', 'wail', 'whimper']",cry is a synonym of <extra_id_0>
cry is a synonym of <extra_id_0>,"['talk', 'joyfully', 'whisper', 'laughing', 'smile', 'happy', 'laugh']",cry is an antonym of <extra_id_0>
tight is an antonym of <extra_id_0>,"['tight', 'stinky', 'compressed', 'disguise', 'penurious', 'nasty', 'mellow', 'taut', 'drew', 'leaky', 'parsimonious', 'fast', 'contest', 'close', 'strait', 'stingy', 'closely', 'miserly', 'boozy', 'strict', 'polished', 'compact', 'stringent', 'soundly', 'firmly', 'drunk', 'intoxicated', 'tights', 'narrow', 'impassable', 'loose', 'ace']",tight is a synonym of <extra_id_0>
tight is a synonym of <extra_id_0>,"['slack', 'broad', 'badly', 'crap', 'baggy', 'loose', 'loosely']",tight is an antonym of <extra_id_0>
cheerleader is an antonym of <extra_id_0>,"['cheerleaders', 'cheerleader', 'supporter', 'leader', 'entertainer']",cheerleader is a synonym of <extra_id_0>
cheerleader is a synonym of <extra_id_0>,['gloomleader'],cheerleader is an antonym of <extra_id_0>
layup is an antonym of <extra_id_0>,"['layup', 'layups', 'lay-up']",layup is a synonym of <extra_id_0>
brochure is an antonym of <extra_id_0>,"['book', 'brochure', 'brochures', 'booklet']",brochure is a synonym of <extra_id_0>
church is an antonym of <extra_id_0>,"['chapel', 'organization', 'burgoise', 'temple', 'church', 'congregation', 'religion', 'parish', 'churches', 'kirk', 'body']",church is a synonym of <extra_id_0>
principal is an antonym of <extra_id_0>,"['film', 'ringleader', 'client', 'dean', 'principal', 'financier', 'principals', 'headteacher', 'debt', 'diapason', 'educator', 'wrongdoer', 'chief', 'star', 'capital', 'proprietor']",principal is a synonym of <extra_id_0>
principal is a synonym of <extra_id_0>,['student'],principal is an antonym of <extra_id_0>
glassblower is an antonym of <extra_id_0>,"['glassblower', 'glassblowers', 'gaffer', 'craftsman']",glassblower is a synonym of <extra_id_0>
chief is an antonym of <extra_id_0>,"['foreman', 'head', 'chief', 'chiefs', 'headman']",chief is a synonym of <extra_id_0>
chief is a synonym of <extra_id_0>,"['peon', 'indian', 'follower', 'employee']",chief is an antonym of <extra_id_0>
snowfall is an antonym of <extra_id_0>,"['snowfalls', 'snowfall', 'snow']",snowfall is a synonym of <extra_id_0>
heel is an antonym of <extra_id_0>,"['heels', 'part', 'heel', 'end', 'bottom', 'cad', 'list', 'ender', 'heeling']",heel is a synonym of <extra_id_0>
heel is a synonym of <extra_id_0>,"['move', 'toe', 'babyface', 'face', 'forward']",heel is an antonym of <extra_id_0>
seeing is an antonym of <extra_id_0>,"['seeings', 'eyesight', 'seeing', 'sighted']",seeing is a synonym of <extra_id_0>
tar is an antonym of <extra_id_0>,"['mixture', 'blackness', 'mariner', 'tars', 'pitch', 'tar']",tar is a synonym of <extra_id_0>
tar is a synonym of <extra_id_0>,['untar'],tar is an antonym of <extra_id_0>
rise is an antonym of <extra_id_0>,"['climb', 'rebel', 'advance', 'ascent', 'rise', 'emanation', 'surface', 'resurrect', 'increase', 'lift', 'upgrade', 'arise', 'originate', 'emergence', 'motion', 'raise', 'wax', 'rises', 'heighten']",rise is a synonym of <extra_id_0>
rise is a synonym of <extra_id_0>,"['reduce', 'sunset', 'set', 'sun', 'descend', 'sink', 'lower', 'go', 'sundown', 'lay', 'fall', 'down', 'below']",rise is an antonym of <extra_id_0>
toddle is an antonym of <extra_id_0>,"['toddle', 'totter', 'toddles']",toddle is a synonym of <extra_id_0>
kid is an antonym of <extra_id_0>,"['goat', 'cabrito', 'leather', 'album', 'kids', 'child', 'kid']",kid is a synonym of <extra_id_0>
kid is a synonym of <extra_id_0>,['adult'],kid is an antonym of <extra_id_0>
signature is an antonym of <extra_id_0>,"['touch', 'signature', 'signatures', 'tune', 'icon', 'name', 'sheet']",signature is a synonym of <extra_id_0>
gator is an antonym of <extra_id_0>,"['gators', 'gator', 'alligator']",gator is a synonym of <extra_id_0>
whisky is an antonym of <extra_id_0>,"['whiskey', 'whisky', 'carriage', 'whiskies']",whisky is a synonym of <extra_id_0>
survivor is an antonym of <extra_id_0>,"['animal', 'survivor', 'person', 'book', 'trooper', 'survivors', 'unfortunate']",survivor is a synonym of <extra_id_0>
saucer is an antonym of <extra_id_0>,"['saucer', 'saucers', 'dish', 'disk', 'discus', 'flatware']",saucer is a synonym of <extra_id_0>
saucer is a synonym of <extra_id_0>,"['ufo', 'flying', 'cup']",saucer is an antonym of <extra_id_0>
roulette is an antonym of <extra_id_0>,"['wheel', 'roulette', 'roulettes', 'curve']",roulette is a synonym of <extra_id_0>
infield is an antonym of <extra_id_0>,"['infields', 'infield']",infield is a synonym of <extra_id_0>
infield is a synonym of <extra_id_0>,['outfield'],infield is an antonym of <extra_id_0>
publication is an antonym of <extra_id_0>,"['communication', 'publication', 'publishing', 'issue', 'work', 'publications']",publication is a synonym of <extra_id_0>
gentleman is an antonym of <extra_id_0>,"['valet', 'gentleman', 'gentlemen', 'man']",gentleman is a synonym of <extra_id_0>
gentleman is a synonym of <extra_id_0>,"['lady', 'ladies']",gentleman is an antonym of <extra_id_0>
pot is an antonym of <extra_id_0>,"['container', 'pan', 'pot', 'batch', 'can', 'cannabis', 'kitty', 'containerful', 'pots', 'potentiometer', 'cookpot', 'vessel', 'toilet', 'belly', 'stake', 'middy']",pot is a synonym of <extra_id_0>
frustration is an antonym of <extra_id_0>,"['frustration', 'dissatisfaction', 'disappointment', 'annoyance', 'hindrance', 'frustrations']",frustration is a synonym of <extra_id_0>
drummer is an antonym of <extra_id_0>,"['percussionist', 'musician', 'drummer', 'hawker', 'drummers']",drummer is a synonym of <extra_id_0>
lapse is an antonym of <extra_id_0>,"['pause', 'lapses', 'sink', 'backsliding', 'elapse', 'blooper', 'relapse', 'oversight', 'lapse', 'situation']",lapse is a synonym of <extra_id_0>
bravery is an antonym of <extra_id_0>,"['bravery', 'bravehood', 'band', 'courage', 'braveries', 'pluck', 'courageousness', 'valor', 'fearlessness', 'bravura']",bravery is a synonym of <extra_id_0>
taxicab is an antonym of <extra_id_0>,"['cab', 'taxicab', 'taxicabs']",taxicab is a synonym of <extra_id_0>
braid is an antonym of <extra_id_0>,"['braid', 'trimming', 'braids', 'hairdo']",braid is a synonym of <extra_id_0>
comment is an antonym of <extra_id_0>,"['gloss', 'comments', 'statement', 'remark', 'gossip', 'comment']",comment is a synonym of <extra_id_0>
riot is an antonym of <extra_id_0>,"['violence', 'rioting', 'riots', 'orgy', 'carouse', 'riot']",riot is a synonym of <extra_id_0>
fight is an antonym of <extra_id_0>,"['competitiveness', 'fights', 'battle', 'boxing', 'controversy', 'crusade', 'fight', 'conflict']",fight is a synonym of <extra_id_0>
fight is a synonym of <extra_id_0>,"['hugging', 'peace', 'up', 'making']",fight is an antonym of <extra_id_0>
thieve is an antonym of <extra_id_0>,"['rob', 'steal', 'thieves', 'thieve', 'hook']",thieve is a synonym of <extra_id_0>
cattail is an antonym of <extra_id_0>,"['plant', 'bulrush', 'reed', 'cattails', 'cattail']",cattail is a synonym of <extra_id_0>
bumpy is an antonym of <extra_id_0>,"['bumpies', 'jellyfish', 'bumpy', 'unevenness', 'jolting']",bumpy is a synonym of <extra_id_0>
report is an antonym of <extra_id_0>,"['news', 'reports', 'composition', 'reputation', 'document', 'informing', 'report', 'buzz', 'noise']",report is a synonym of <extra_id_0>
advantage is an antonym of <extra_id_0>,"['foredeal', 'asset', 'vantage', 'benefit', 'advantages', 'favor', 'point', 'advantage']",advantage is a synonym of <extra_id_0>
advantage is a synonym of <extra_id_0>,"['handicap', 'disadvantage', 'con']",advantage is an antonym of <extra_id_0>
sledge is an antonym of <extra_id_0>,"['sledge', 'maul', 'sled', 'carriage', 'sledgehammer', 'sledges', 'forehammer']",sledge is a synonym of <extra_id_0>
card is an antonym of <extra_id_0>,"['record', 'tease', 'correspondence', 'cardboard', 'wag', 'menu', 'poster', 'cards', 'card', 'paper']",card is a synonym of <extra_id_0>
card is a synonym of <extra_id_0>,"['announcement', 'gift', 'chip', 'paper', 'greeting']",card is an antonym of <extra_id_0>
peer is an antonym of <extra_id_0>,"['peer', 'nobleman', 'person', 'peers']",peer is a synonym of <extra_id_0>
peer is a synonym of <extra_id_0>,['boss'],peer is an antonym of <extra_id_0>
banister is an antonym of <extra_id_0>,"['banister', 'bannister', 'banisters']",banister is a synonym of <extra_id_0>
feature is an antonym of <extra_id_0>,"['movie', 'merchandise', 'feature', 'features', 'have', 'property', 'sport', 'article']",feature is a synonym of <extra_id_0>
relation is an antonym of <extra_id_0>,"['connection', 'correspondence', 'recount', 'narration', 'abstraction', 'relations', 'relative', 'relation', 'dealings']",relation is a synonym of <extra_id_0>
relation is a synonym of <extra_id_0>,"['general', 'unrelated', 'form']",relation is an antonym of <extra_id_0>
spacecraft is an antonym of <extra_id_0>,"['craft', 'spaceship', 'satellite', 'spacecraft', 'spacecrafts']",spacecraft is a synonym of <extra_id_0>
twirl is an antonym of <extra_id_0>,"['whirl', 'kink', 'twirls', 'twirl', 'spin']",twirl is a synonym of <extra_id_0>
pineapple is an antonym of <extra_id_0>,"['ananas', 'fruit', 'herb', 'bromeliad', 'plant', 'pineapple', 'grenade', 'pineapples']",pineapple is a synonym of <extra_id_0>
dimension is an antonym of <extra_id_0>,"['proportion', 'dimension', 'magnitude', 'attribute', 'fashion', 'property', 'dimensions', 'aspect']",dimension is a synonym of <extra_id_0>
ramp is an antonym of <extra_id_0>,"['ramps', 'device', 'stairway', 'ramp']",ramp is a synonym of <extra_id_0>
outside is an antonym of <extra_id_0>,"['outside', 'surface', 'extraneous', 'outsides', 'international', 'region']",outside is a synonym of <extra_id_0>
outside is a synonym of <extra_id_0>,['inside'],outside is an antonym of <extra_id_0>
canoer is an antonym of <extra_id_0>,"['canoers', 'canoeist', 'canoer']",canoer is a synonym of <extra_id_0>
farm is an antonym of <extra_id_0>,"['farm', 'farms', 'workplace', 'grow']",farm is a synonym of <extra_id_0>
farm is a synonym of <extra_id_0>,"['apartment', 'urban', 'city', 'town', 'house', 'cities']",farm is an antonym of <extra_id_0>
robin is an antonym of <extra_id_0>,"['animal', 'robin', 'redbreast', 'bird', 'vertebrate', 'robins', 'thrush', 'passerine', 'ruddock']",robin is a synonym of <extra_id_0>
ruin is an antonym of <extra_id_0>,"['building', 'downfall', 'fordo', 'destroy', 'wreck', 'deflower', 'dilapidation', 'destruction', 'ruins', 'ruinate', 'devastation', 'ruin', 'bankrupt']",ruin is a synonym of <extra_id_0>
ruin is a synonym of <extra_id_0>,"['construct', 'fix', 'new', 'construction', 'produce', 'build', 'found']",ruin is an antonym of <extra_id_0>
environment is an antonym of <extra_id_0>,"['situation', 'environment', 'umbworld', 'environments', 'site', 'region']",environment is a synonym of <extra_id_0>
visitor is an antonym of <extra_id_0>,"['caller', 'person', 'traveler', 'visitor', 'visitors']",visitor is a synonym of <extra_id_0>
worry is an antonym of <extra_id_0>,"['fret', 'worry', 'worries', 'anxiety', 'concern']",worry is a synonym of <extra_id_0>
scarecrow is an antonym of <extra_id_0>,"['frayboggard', 'scarecrow', 'scarecrows', 'effigy']",scarecrow is a synonym of <extra_id_0>
raspberry is an antonym of <extra_id_0>,"['fruit', 'boo', 'drupelet', 'hindberry', 'berry', 'raspberry', 'raspberries']",raspberry is a synonym of <extra_id_0>
action is an antonym of <extra_id_0>,"['performing', 'pay', 'encounter', 'feat', 'action', 'brush', '""DOING""', 'measure', 'representation', 'software', 'state', 'instrumentality', 'combat', 'procedure', 'influence', 'energy', 'event', 'act', 'deed', 'contest', 'enacting', 'achievement', 'drive', 'conflict', 'representing', 'plot', 'acting', 'case', 'skirmish', 'rencontre', 'playing', 'mechanism', 'work', 'expression', 'doing', 'prosecution', 'affair', 'lawsuit', 'activity', 'suit', 'force', 'battle', 'turn', 'movement', 'subject', 'course', 'process', 'exercise', 'actions']",action is a synonym of <extra_id_0>
action is a synonym of <extra_id_0>,['inaction'],action is an antonym of <extra_id_0>
trim is an antonym of <extra_id_0>,"['attitude', 'trig', 'pare', 'reduce', 'neatness', 'cut', 'trimming', 'trims', 'shave', 'snip', 'spare', 'tailored', 'trim', 'shipshape']",trim is a synonym of <extra_id_0>
play is an antonym of <extra_id_0>,"['touch', 'play', 'gambling', 'action', 'shimmer', 'plays', 'magazine', 'toy', 'diversion', 'dally', 'drama', 'act', 'looseness', 'bet', 'bid', 'use', 'bring', 'meet', 'show', 'turn', 'maneuver', 'fun']",play is a synonym of <extra_id_0>
play is a synonym of <extra_id_0>,"['bored', 'relax', 'doing', 'musical', 'boring', 'serious', 'rest', 'nothing', 'work', 'fun', 'study']",play is an antonym of <extra_id_0>
withdrawal is an antonym of <extra_id_0>,"['indifference', 'withdrawals', 'retraction', 'withdrawal', 'separation', 'departure', 'removal', 'termination', 'Secession']",withdrawal is a synonym of <extra_id_0>
withdrawal is a synonym of <extra_id_0>,['deposit'],withdrawal is an antonym of <extra_id_0>
bigfoot is an antonym of <extra_id_0>,"['bigfoot', 'sasquatch', 'Sasquatch', 'bigfeet']",bigfoot is a synonym of <extra_id_0>
portfolio is an antonym of <extra_id_0>,"['case', 'set', 'function', 'briefcase', 'portfolio', 'portfolios', 'list']",portfolio is a synonym of <extra_id_0>
ox is an antonym of <extra_id_0>,"['bullock', 'bull', 'oxen', 'ox', 'cattle', 'bovine']",ox is a synonym of <extra_id_0>
quality is an antonym of <extra_id_0>,"['quality', 'qualities', 'select', 'attribute', 'timbre', 'property', 'degree']",quality is a synonym of <extra_id_0>
quality is a synonym of <extra_id_0>,"['rubbish', 'crummy', 'shoddy', 'cheap', 'taste', 'workmanship', 'poor', 'bad']",quality is an antonym of <extra_id_0>
change is an antonym of <extra_id_0>,"['changes', 'action', 'alter', 'cash', 'deepen', 'coin', 'alternation', 'change', 'relation', 'money', 'clothing', 'exchange', 'thing', 'switch', 'consequence', 'transition', 'transfer', 'variety', 'happening', 'transform']",change is a synonym of <extra_id_0>
change is a synonym of <extra_id_0>,"['money', 'payment', 'notes', 'stable', 'remain', 'stagnation', 'dollar', 'exact', 'constant', 'tradition', 'bills', 'paper', 'static', 'permanent']",change is an antonym of <extra_id_0>
purplish is an antonym of <extra_id_0>,"['purplish', 'purply', 'purplishes']",purplish is a synonym of <extra_id_0>
science is an antonym of <extra_id_0>,"['sciences', 'discipline', 'skill', 'science', 'empiric']",science is a synonym of <extra_id_0>
science is a synonym of <extra_id_0>,"['studies', 'arts', 'art', 'math', 'geography', 'history', 'religion', 'faith']",science is an antonym of <extra_id_0>
surprise is an antonym of <extra_id_0>,"['surprises', 'astonishment', 'overtake', 'stunner', 'disruption', 'change', 'unexpected', 'emotion', 'storm', 'surprise', 'bombshell']",surprise is a synonym of <extra_id_0>
surprise is a synonym of <extra_id_0>,"['expected', 'boring', 'knowing', 'planned', 'already', 'known', 'expectation', 'foreshadowed', 'knew', 'predictable', 'about', 'knowingly', 'bland', 'obvious']",surprise is an antonym of <extra_id_0>
harpist is an antonym of <extra_id_0>,"['musician', 'harpist', 'harper', 'harpists']",harpist is a synonym of <extra_id_0>
suspect is an antonym of <extra_id_0>,"['suspicious', 'person', 'accuse', 'distrust', 'imagine', 'suspect', 'dodgy', 'suspects', 'defendant']",suspect is a synonym of <extra_id_0>
demeanor is an antonym of <extra_id_0>,"['trait', 'comportment', 'demeanor', 'behavior', 'demeanors']",demeanor is a synonym of <extra_id_0>
view is an antonym of <extra_id_0>,"['position', 'see', 'watch', 'horizon', 'perspective', 'opinion', 'appearance', 'purpose', 'view', 'views', 'scene', 'range', 'regard', 'look', 'inspection']",view is a synonym of <extra_id_0>
view is a synonym of <extra_id_0>,"['sight', 'model', 'blocked']",view is an antonym of <extra_id_0>
bail is an antonym of <extra_id_0>,"['handle', 'recognizance', 'bails', 'bail']",bail is a synonym of <extra_id_0>
sunday is an antonym of <extra_id_0>,"['day', 'sundays', 'sunday']",sunday is a synonym of <extra_id_0>
fantasy is an antonym of <extra_id_0>,"['fantasize', 'fantasies', 'illusion', 'imagination', 'fiction', 'fantasy']",fantasy is a synonym of <extra_id_0>
fantasy is a synonym of <extra_id_0>,"['nonfiction', 'reality']",fantasy is an antonym of <extra_id_0>
bird is an antonym of <extra_id_0>,"['fowl', 'bird', 'meat', 'vertebrate', 'animal', 'boo', 'dinosaur', 'guy', 'dame', 'birds', 'broad', 'chick', 'shuttlecock', 'girl', 'biped', 'time', 'lass', 'chap', 'porridge', 'amniote']",bird is a synonym of <extra_id_0>
bird is a synonym of <extra_id_0>,"['human', 'animal', 'plane', 'fish']",bird is an antonym of <extra_id_0>
mullet is an antonym of <extra_id_0>,"['fish', 'mullet', 'mullets', 'springer', 'haarder']",mullet is a synonym of <extra_id_0>
breast is an antonym of <extra_id_0>,"['bazonga', 'assets', 'knockers', 'bazookas', 'bust', 'rack', 'mammaries', 'titters', 'boobs', 'gazongas', 'summit', 'boobers', 'melons', 'jugs', 'cones', 'bosom', 'brisket', 'cans', 'boobies', 'heart', 'teat', 'hooters', 'helping', 'titties', 'breasts', 'breast', 'girls', 'chest', 'front', 'baps', 'pair', 'bristols', 'twins', 'tits', 'chesticles']",breast is a synonym of <extra_id_0>
breast is a synonym of <extra_id_0>,['thigh'],breast is an antonym of <extra_id_0>
cliff is an antonym of <extra_id_0>,"['cliff', 'cliffs', 'precipice']",cliff is a synonym of <extra_id_0>
devil is an antonym of <extra_id_0>,"['bugger', 'fuck', 'heck', 'devil', 'hell', 'hellion', 'bastard', 'annoy', 'exclamation', 'devils', 'deuce', 'monster', 'satan', 'demon', 'imp', 'trouble']",devil is a synonym of <extra_id_0>
devil is a synonym of <extra_id_0>,"['angel', 'god', 'cakewalk']",devil is an antonym of <extra_id_0>
instrument is an antonym of <extra_id_0>,"['arrange', 'device', 'play', 'instruments', 'means', 'measure', 'assistant', 'instrument']",instrument is a synonym of <extra_id_0>
lake is an antonym of <extra_id_0>,"['lake', 'lakes', 'station', 'pigment', 'site']",lake is a synonym of <extra_id_0>
lake is a synonym of <extra_id_0>,"['sea', 'ocean']",lake is an antonym of <extra_id_0>
shell is an antonym of <extra_id_0>,"['husk', 'hull', 'part', 'shell', 'shells', 'ammunition', 'beat', 'skeleton', 'covering', 'carapace', 'plate', 'collectable', 'housing', 'blast']",shell is a synonym of <extra_id_0>
mp3 is an antonym of <extra_id_0>,"['mpg', 'mp3s', 'mp3']",mp3 is a synonym of <extra_id_0>
dolly is an antonym of <extra_id_0>,"['conveyance', 'doll', 'dollies', 'dolly']",dolly is a synonym of <extra_id_0>
employer is an antonym of <extra_id_0>,"['leader', 'employer', 'employers']",employer is a synonym of <extra_id_0>
employer is a synonym of <extra_id_0>,['employee'],employer is an antonym of <extra_id_0>
pursuit is an antonym of <extra_id_0>,"['pursuit', 'following', 'search', 'pastime', 'motion', 'pursuits', 'avocation']",pursuit is a synonym of <extra_id_0>
swimming is an antonym of <extra_id_0>,"['naiant', 'swimmings', 'locomotion', 'swimming']",swimming is a synonym of <extra_id_0>
i is an antonym of <extra_id_0>,"['1', 'i', 'one', 'muggins', 'sr', 'letter', 'is', 'iodine']",i is a synonym of <extra_id_0>
i is a synonym of <extra_id_0>,['you'],i is an antonym of <extra_id_0>
mass is an antonym of <extra_id_0>,"['river', 'batch', 'Massachusetts', 'bulk', 'mass', 'prayer', 'masses', 'collection', 'ma', 'multitude', 'body', 'aggregative']",mass is a synonym of <extra_id_0>
mass is a synonym of <extra_id_0>,"['energy', 'volume']",mass is an antonym of <extra_id_0>
coma is an antonym of <extra_id_0>,"['cloud', 'comas', 'coma', 'unconsciousness', 'illness', 'book', 'tuft']",coma is a synonym of <extra_id_0>
reign is an antonym of <extra_id_0>,"['reign', 'predominate', 'dominion', 'period', 'reigns', 'governing', 'situation']",reign is a synonym of <extra_id_0>
comic is an antonym of <extra_id_0>,"['comics', 'comedian', 'comical', 'laughable', 'comic', 'comedic']",comic is a synonym of <extra_id_0>
comic is a synonym of <extra_id_0>,['tragic'],comic is an antonym of <extra_id_0>
scout is an antonym of <extra_id_0>,"['lookout', 'scout', 'scouts', 'person', 'recruiter', 'worker', 'expert']",scout is a synonym of <extra_id_0>
pyrotechnic is an antonym of <extra_id_0>,"['pyrotechnic', 'making', 'firework', 'pyrotechnics']",pyrotechnic is a synonym of <extra_id_0>
ram is an antonym of <extra_id_0>,"['ram', 'person', 'rams', 'sheep', 'force', 'jam', 'Aries', 'crash', 'tool']",ram is a synonym of <extra_id_0>
youth is an antonym of <extra_id_0>,"['juvenility', 'youth', 'young', 'boy', 'adolescent', 'youngness', 'juvenile', 'maturity', 'youths']",youth is a synonym of <extra_id_0>
youth is a synonym of <extra_id_0>,"['age', 'people', 'elder', 'old', 'oldness', 'adult']",youth is an antonym of <extra_id_0>
bread is an antonym of <extra_id_0>,"['boodle', 'food', 'dough', 'starches', 'bread', 'commonly', 'cereal']",bread is a synonym of <extra_id_0>
bread is a synonym of <extra_id_0>,"['water', 'wine', 'meat', 'butter']",bread is an antonym of <extra_id_0>
defend is an antonym of <extra_id_0>,"['defends', 'fight', 'defend', 'champion', 'maintain']",defend is a synonym of <extra_id_0>
defend is a synonym of <extra_id_0>,['attack'],defend is an antonym of <extra_id_0>
mixer is an antonym of <extra_id_0>,"['mixer', 'sociable', 'component', 'mixers', 'beverage']",mixer is a synonym of <extra_id_0>
rite is an antonym of <extra_id_0>,"['rite', 'ritual', 'rites']",rite is a synonym of <extra_id_0>
husband is an antonym of <extra_id_0>,"['husbands', 'steward', 'husband', 'wedder', 'householder', 'cultivate', 'economist', 'partner', 'nurture', 'till', 'husbandman', 'farm', 'spouse', 'conserve']",husband is a synonym of <extra_id_0>
husband is a synonym of <extra_id_0>,['wife'],husband is an antonym of <extra_id_0>
cherry is an antonym of <extra_id_0>,"['fruit', 'cherries', 'wood', 'drupe', 'cherrywood', 'cerise', 'cherry-red', 'cherry']",cherry is a synonym of <extra_id_0>
lumber is an antonym of <extra_id_0>,"['timber', 'woodwork', 'wood', 'lumbers', 'log', 'lumber']",lumber is a synonym of <extra_id_0>
bullhorn is an antonym of <extra_id_0>,"['bullhorns', 'loudspeaker', 'megaphone', 'bullhorn', 'blowhorn']",bullhorn is a synonym of <extra_id_0>
debt is an antonym of <extra_id_0>,"['indebtedness', 'debts', 'debt', 'liabilities', 'obligation']",debt is a synonym of <extra_id_0>
debt is a synonym of <extra_id_0>,"['surplus', 'profit', 'asset', 'credit', 'wealth', 'savings', 'lend']",debt is an antonym of <extra_id_0>
leaky is an antonym of <extra_id_0>,"['leakies', 'blabbermouthed', 'leaky']",leaky is a synonym of <extra_id_0>
dirt is an antonym of <extra_id_0>,"['ungraded', 'scandal', 'filth', 'soil', 'dirtiness', 'dirts', 'crap', 'dirt']",dirt is a synonym of <extra_id_0>
dirt is a synonym of <extra_id_0>,['clean'],dirt is an antonym of <extra_id_0>
curfew is an antonym of <extra_id_0>,"['decree', 'signal', 'bell', 'curfews', 'mandate', 'curfew', 'rule', 'deadline']",curfew is a synonym of <extra_id_0>
curfew is a synonym of <extra_id_0>,"['out', 'stay']",curfew is an antonym of <extra_id_0>
rummage is an antonym of <extra_id_0>,"['ransacking', 'rummage', 'clutter', 'rummages']",rummage is a synonym of <extra_id_0>
bask is an antonym of <extra_id_0>,"['basks', 'bask', 'enjoy']",bask is a synonym of <extra_id_0>
cord is an antonym of <extra_id_0>,"['twine', 'rope', 'line', 'corduroy', 'conductor', 'thin', 'fabric', 'cable', 'cords', 'cord', 'thick']",cord is a synonym of <extra_id_0>
snap is an antonym of <extra_id_0>,"['catch', 'jinx', 'noise', 'snaps', 'snapshot', 'crack', 'fastener', 'photograph', 'centering', 'elasticity', 'break', 'cinch', 'while', 'snap', 'band', 'motion', 'snatch', 'tear', 'gingersnap']",snap is a synonym of <extra_id_0>
looking is an antonym of <extra_id_0>,"['search', 'sounding', 'look', 'looking', 'lookings']",looking is a synonym of <extra_id_0>
meadow is an antonym of <extra_id_0>,"['meadows', 'hayfield', 'meadow', 'lea', 'grassland']",meadow is a synonym of <extra_id_0>
meadow is a synonym of <extra_id_0>,['forest'],meadow is an antonym of <extra_id_0>
property is an antonym of <extra_id_0>,"['object', 'attribute', 'concept', 'theft', 'land', 'possession', 'properties', 'property', 'place', 'prop']",property is a synonym of <extra_id_0>
property is a synonym of <extra_id_0>,['public'],property is an antonym of <extra_id_0>
waltz is an antonym of <extra_id_0>,"['waltzs', 'waltz', 'walk-in']",waltz is a synonym of <extra_id_0>
tabby is an antonym of <extra_id_0>,"['tabbies', 'tabby', 'brindled']",tabby is a synonym of <extra_id_0>
facebook is an antonym of <extra_id_0>,"['facebooks', 'facebook', 'company']",facebook is a synonym of <extra_id_0>
midday is an antonym of <extra_id_0>,"['middays', 'noon', 'midday']",midday is a synonym of <extra_id_0>
midday is a synonym of <extra_id_0>,['midnight'],midday is an antonym of <extra_id_0>
apocalypse is an antonym of <extra_id_0>,"['apocalypses', 'calamity', 'ragnarok', 'eschaton', 'Revelation', 'apocalypse', 'armageddon', 'doomsday']",apocalypse is a synonym of <extra_id_0>
bunker is an antonym of <extra_id_0>,"['container', 'underground', 'bunker', 'hazard', 'fortification', 'bunkers']",bunker is a synonym of <extra_id_0>
cavity is an antonym of <extra_id_0>,"['caries', 'structure', 'decay', 'space', 'pit', 'cavity', 'cavities']",cavity is a synonym of <extra_id_0>
determination is an antonym of <extra_id_0>,"['determination', 'resoluteness', 'decision', 'discovery', 'determinations']",determination is a synonym of <extra_id_0>
gown is an antonym of <extra_id_0>,"['gowns', 'nightgown', 'outerwear', 'dress', 'university', 'gown', 'garment']",gown is a synonym of <extra_id_0>
gill is an antonym of <extra_id_0>,"['gills', 'gill', 'lamella']",gill is a synonym of <extra_id_0>
dream is an antonym of <extra_id_0>,"['artwork', 'dreams', 'sweven', 'dream', 'ambition', 'imagination', 'reverie', 'information', 'perfection', 'vision', 'band', 'company']",dream is a synonym of <extra_id_0>
dream is a synonym of <extra_id_0>,"['waking', 'nightmare', 'reality', 'awake', 'wake']",dream is an antonym of <extra_id_0>
license is an antonym of <extra_id_0>,"['licenses', 'permission', 'authorization', 'accreditation', 'credential', 'allowance', 'liberty', 'license']",license is a synonym of <extra_id_0>
packer is an antonym of <extra_id_0>,"['packer', 'packers', 'workman', 'backpacker']",packer is a synonym of <extra_id_0>
packer is a synonym of <extra_id_0>,['unpacker'],packer is an antonym of <extra_id_0>
marina is an antonym of <extra_id_0>,"['dock', 'marinas', 'marina']",marina is a synonym of <extra_id_0>
obedience is an antonym of <extra_id_0>,"['obediences', 'compliance', 'tractability', 'submission', 'hearsomeness', 'obedience']",obedience is a synonym of <extra_id_0>
obedience is a synonym of <extra_id_0>,"['violation', 'disobedience', 'control']",obedience is an antonym of <extra_id_0>
r is an antonym of <extra_id_0>,"['movie', 'letter', 'radius', 'r', 'roentgen', 'rs', 'software']",r is a synonym of <extra_id_0>
r is a synonym of <extra_id_0>,"['d', 'l']",r is an antonym of <extra_id_0>
