prompt,opposite_sent,completion
Muppets aren't <extra_id_0>,Muppets are <extra_id_0>,['puppets']
Spagetti isn't a kind of <extra_id_0>,Spagetti is a kind of <extra_id_0>,['pasta']
A cockatoo isn't a <extra_id_0>,A cockatoo is a <extra_id_0>,"['parrot', 'bird']"
Clock isn't a kind of <extra_id_0>,Clock is a kind of <extra_id_0>,"['timepiece', 'device']"
Kohlrabi isn't a <extra_id_0>,Kohlrabi is a <extra_id_0>,['crucifer']
A bottle isn't a kind of <extra_id_0>,A bottle is a kind of <extra_id_0>,"['casing', 'containerful', 'vessel', 'container']"
Hash isn't a <extra_id_0>,Hash is a <extra_id_0>,['dish']
Cheese isn't a <extra_id_0>,Cheese is a <extra_id_0>,"['software', 'mixture', 'magazine', 'food']"
Roti isn't a type of <extra_id_0>,Roti is a type of <extra_id_0>,['flatbread']
The database isn't a <extra_id_0>,The database is a <extra_id_0>,"['sks', 'information', 'ibo']"
A buckle isn't a kind of <extra_id_0>,A buckle is a kind of <extra_id_0>,"['connector', 'deform', 'fastener']"
Some problems aren't <extra_id_0>,Some problems are <extra_id_0>,['unsolvable']
A mineral isn't a type of <extra_id_0>,A mineral is a type of <extra_id_0>,"['matter', 'material', 'generally', 'crystal']"
Emerald isn't a type of <extra_id_0>,Emerald is a type of <extra_id_0>,"['jewel', 'mineral', 'beryl', 'green']"
Vineyard isn't a kind of <extra_id_0>,Vineyard is a kind of <extra_id_0>,"['place', 'farm']"
Fudge isn't a type of chocolate <extra_id_0>,Fudge is a type of chocolate <extra_id_0>,"['candy', 'dessert', 'brown', 'food']"
A CEO isn't a type of <extra_id_0>,A CEO is a type of <extra_id_0>,"['employee', 'person']"
Mops aren't <extra_id_0>,Mops are <extra_id_0>,"['tools', 'mammal']"
Cyprus isn't an <extra_id_0>,Cyprus is an <extra_id_0>,"['country', 'state']"
Lyre isn't old <extra_id_0>,Lyre is old <extra_id_0>,['harp']
An actress isn't a kind of a <extra_id_0>,An actress is a kind of a <extra_id_0>,"['person', 'actor']"
A pullover isn't a kind of <extra_id_0>,A pullover is a kind of <extra_id_0>,"['dress', 'sweater']"
Gorilla isn't <extra_id_0>,Gorilla is <extra_id_0>,"['animal', 'hominid', 'mammal']"
Barbiturates aren't <extra_id_0>,Barbiturates are <extra_id_0>,['salts']
IED isn't a kind of <extra_id_0>,IED is a kind of <extra_id_0>,['explosive']
Sugar isn't a type of organic <extra_id_0>,Sugar is a type of organic <extra_id_0>,"['software', 'carbohydrate', 'crystal', 'translucence', 'sweetening']"
Eyeshadow isn't a type of <extra_id_0>,Eyeshadow is a type of <extra_id_0>,['makeup']
Banana isn't a kind of <extra_id_0>,Banana is a kind of <extra_id_0>,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
Accident isn't a kind of <extra_id_0>,Accident is a kind of <extra_id_0>,"['mishap', 'happening']"
Mine isn't a type of <extra_id_0>,Mine is a type of <extra_id_0>,"['facility', 'bomb', 'excavation']"
War isn't a <extra_id_0>,War is a <extra_id_0>,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
Cinnamon isn't a <extra_id_0>,Cinnamon is a <extra_id_0>,"['spice', 'laurel', 'bark']"
Albatross isn't a <extra_id_0>,Albatross is a <extra_id_0>,"['bird', 'seabird', 'animal', 'hindrance', 'ship']"
Greed isn't a human <extra_id_0>,Greed is a human <extra_id_0>,['desire']
Shirts aren't <extra_id_0>,Shirts are <extra_id_0>,"['clothing', 'clothes']"
Orchids aren't <extra_id_0>,Orchids are <extra_id_0>,"['flowers', 'plants']"
Researchers aren't <extra_id_0>,Researchers are <extra_id_0>,['theorists']
A coach isn't a kind of <extra_id_0>,A coach is a kind of <extra_id_0>,"['trainer', 'teacher', 'vehicle', 'wagon', 'worker', 'carriage']"
Banking isn't a <extra_id_0>,Banking is a <extra_id_0>,['finance']
Pork isn't a kind of <extra_id_0>,Pork is a kind of <extra_id_0>,['meat']
Bile isn't an <extra_id_0>,Bile is an <extra_id_0>,['liquid']
Alcohol isn't a <extra_id_0>,Alcohol is a <extra_id_0>,"['beverage', 'liquid', 'adictive']"
Polo isn't <extra_id_0>,Polo is <extra_id_0>,['sport']
A mechanic isn't a type of <extra_id_0>,A mechanic is a type of <extra_id_0>,"['tradesperson', 'tradesman']"
Honor isn't a <extra_id_0>,Honor is a <extra_id_0>,"['virtue', 'standing', 'righteousness']"
The nun didn't be <extra_id_0>,The nun was <extra_id_0>,"['letter', 'religious', 'worker', 'woman', 'beheaded']"
Many perennials aren't favorite cut <extra_id_0>,Many perennials are favorite cut <extra_id_0>,"['plants', 'flowers', 'foliage']"
Israel isn't a type of <extra_id_0>,Israel is a type of <extra_id_0>,"['democracy', 'country']"
Bird watching isn't a popular <extra_id_0>,Bird watching is a popular <extra_id_0>,['observing']
Haddock isn't type <extra_id_0>,Haddock is type <extra_id_0>,"['gadoid', 'fish']"
Squash isn't a <extra_id_0>,Squash is a <extra_id_0>,"['sport', 'vegetable', 'fruit', 'vine']"
Jars aren't <extra_id_0>,Jars are <extra_id_0>,['containers']
Osprey isn't a <extra_id_0>,Osprey is a <extra_id_0>,"['bird', 'accipitridae', 'hawk']"
Spice isn't <extra_id_0>,Spice is <extra_id_0>,"['seasoning', 'preservative', 'software', 'flavorer']"
"A tarantula isn't a large, hairy <extra_id_0>","A tarantula is a large, hairy <extra_id_0>",['spider']
Rifle isn't a type of <extra_id_0>,Rifle is a type of <extra_id_0>,"['firearm', 'gun']"
A subordinate isn't a <extra_id_0>,A subordinate is a <extra_id_0>,['assistant']
A cardinal isn't a kind of <extra_id_0>,A cardinal is a kind of <extra_id_0>,"['finch', 'leader', 'grape', 'bishop', 'film', 'bird', 'red', 'number']"
Square doesn't have a <extra_id_0>,Square has a <extra_id_0>,"['stremma', 'rectangle', 'shape', 'quadrilateral', 'number', 'simpleton', 'conservative', 'company', 'artifact']"
Library isn't a kind of <extra_id_0>,Library is a kind of <extra_id_0>,"['collection', 'holding', 'room', 'library', 'archive', 'organization', 'depository', 'building']"
Fdsfgsdgfgsgsg isn't <extra_id_0>,Fdsfgsdgfgsgsg is <extra_id_0>,['garbage']
Concealer isn't a type of <extra_id_0>,Concealer is a type of <extra_id_0>,['makeup']
Poppy isn't a kind of <extra_id_0>,Poppy is a kind of <extra_id_0>,['flower']
Pianos aren't <extra_id_0>,Pianos are <extra_id_0>,"['instruments', 'furniture']"
Granite isn't <extra_id_0>,Granite is <extra_id_0>,"['porus', 'batholith', 'stone', 'steadiness']"
Stable isn't a type of <extra_id_0>,Stable is a type of <extra_id_0>,"['building', 'illness']"
Doctor isn't medical <extra_id_0>,Doctor is medical <extra_id_0>,"['scholar', 'prescriber', 'theologian', 'expert', 'person', 'medic', 'worker', 'play']"
Nissan and toyota aren't brands of <extra_id_0>,Nissan and toyota are brands of <extra_id_0>,"['bank', 'auto', 'river']"
Dock isn't boat <extra_id_0>,Dock is boat <extra_id_0>,"['landing', 'mooring', 'enclosure', 'platform', 'herb']"
SMTP isn't a type of <extra_id_0>,SMTP is a type of <extra_id_0>,['protocol']
Horses isn't a kind of <extra_id_0>,Horses is a kind of <extra_id_0>,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
A sedan isn't a kind of <extra_id_0>,A sedan is a kind of <extra_id_0>,"['automobile', 'litter', 'car']"
A shrimp isn't a <extra_id_0>,A shrimp is a <extra_id_0>,"['crustacean', 'shellfish']"
Frogs aren't <extra_id_0>,Frogs are <extra_id_0>,"['amphibians', 'disappearing', 'animals', 'play']"
Euonymus isn't a <extra_id_0>,Euonymus is a <extra_id_0>,['plant']
Mealybug isn't a <extra_id_0>,Mealybug is a <extra_id_0>,['insect']
A shoplifter isn't a kind of <extra_id_0>,A shoplifter is a kind of <extra_id_0>,['criminal']
Bird isn't a <extra_id_0>,Bird is a <extra_id_0>,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
A rationalization isn't an <extra_id_0>,A rationalization is an <extra_id_0>,"['organization', 'explanation', 'simplification']"
Iran isn't a <extra_id_0>,Iran is a <extra_id_0>,['country']
Smooth isn't a kind of <extra_id_0>,Smooth is a kind of <extra_id_0>,"['album', 'sensation', 'accomplishment']"
A leopard isn't a <extra_id_0>,A leopard is a <extra_id_0>,"['panther', 'cat', 'mammal', 'feline', 'felid', 'fur', 'animal']"
Albania isn't a <extra_id_0>,Albania is a <extra_id_0>,['country']
Some reptiles aren't <extra_id_0>,Some reptiles are <extra_id_0>,"['scaly', 'lizards', 'snakes']"
Tuberculosis isn't a <extra_id_0>,Tuberculosis is a <extra_id_0>,['disease']
Codeine isn't an <extra_id_0>,Codeine is an <extra_id_0>,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
The pope isn't <extra_id_0>,The pope is <extra_id_0>,"['falliable', 'village', 'priest', 'bishop']"
An eggplant isn't a purple <extra_id_0>,An eggplant is a purple <extra_id_0>,"['herb', 'fruit', 'plant']"
Skyscrapers aren't <extra_id_0>,Skyscrapers are <extra_id_0>,['buildings']
Jar isn't a type of glass <extra_id_0>,Jar is a type of glass <extra_id_0>,"['casing', 'containerful', 'vessel']"
Luck isn't <extra_id_0>,Luck is <extra_id_0>,"['karma', 'phenomenon', 'superstition']"
Courage isn't <extra_id_0>,Courage is <extra_id_0>,"['confidence', 'resolve', 'spirit']"
An actor isn't a type of <extra_id_0>,An actor is a type of <extra_id_0>,"['artist', 'performer', 'person', 'interpetor']"
Cars aren't <extra_id_0>,Cars are <extra_id_0>,"['automobiles', 'oldsmobiles', 'band', 'things', 'vehicules', 'album', 'expensie.v']"
Soda isn't a <extra_id_0>,Soda is a <extra_id_0>,['carbonated']
A grid isn't <extra_id_0>,A grid is <extra_id_0>,"['hashed', 'electrode', 'band', 'facility', 'form']"
Engines aren't <extra_id_0>,Engines are <extra_id_0>,['motors']
A earthworm isn't a <extra_id_0>,A earthworm is a <extra_id_0>,"['animal', 'oligochaete']"
Mastoid isn't a <extra_id_0>,Mastoid is a <extra_id_0>,['process']
A porno isn't a type of <extra_id_0>,A porno is a type of <extra_id_0>,"['book', 'movie', 'porn']"
Swiss chard isn't a type of <extra_id_0>,Swiss chard is a type of <extra_id_0>,"['greens', 'beet', 'plant']"
Hour isn't a type of time <extra_id_0>,Hour is a type of time <extra_id_0>,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
"Swedes, carrots, potatoes and aubergines aren't <extra_id_0>","Swedes, carrots, potatoes and aubergines are <extra_id_0>","['food', 'starcy', 'vegetable', 'tubers', 'legumes', 'vegetables']"
Pay isn't to <extra_id_0>,Pay is to <extra_id_0>,"['compensate', 'payment']"
Stock isn't a kind of <extra_id_0>,Stock is a kind of <extra_id_0>,"['merchandise', 'lumber', 'investment', 'support', 'equity', 'flower', 'stalk', 'repute', 'capital', 'handle']"
Revolver isn't a type of <extra_id_0>,Revolver is a type of <extra_id_0>,"['handgun', 'pistol']"
Interferon isn't a <extra_id_0>,Interferon is a <extra_id_0>,"['antiviral', 'protein']"
Pay isn't <extra_id_0>,Pay is <extra_id_0>,"['compensate', 'payment']"
Yellowstone isn't <extra_id_0>,Yellowstone is <extra_id_0>,['spectalular']
Sound isn't energy <extra_id_0>,Sound is energy <extra_id_0>,"['valid', 'vibration', 'sensation', 'channel', 'happening', 'energy']"
Situation: Ebola isn't a <extra_id_0>,Situation: Ebola is a <extra_id_0>,['filovirus']
Sheet music isn't a <extra_id_0>,Sheet music is a <extra_id_0>,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
A tetrahedron isn't a <extra_id_0>,A tetrahedron is a <extra_id_0>,['polyhedron']
Paper isn't a <extra_id_0>,Paper is a <extra_id_0>,"['material', 'flamable', 'medium', 'malliable', 'article', 'compilation', 'poreous']"
Distance isn't a <extra_id_0>,Distance is a <extra_id_0>,"['size', 'point', 'indifference', 'region', 'spacing', 'quantity']"
A spirit isn't a <extra_id_0>,A spirit is a <extra_id_0>,"['atmosphere', 'character', 'mob']"
A lecturer isn't a kind of <extra_id_0>,A lecturer is a kind of <extra_id_0>,"['human', 'teacher', 'speaker']"
Bird isn't a kind of <extra_id_0>,Bird is a kind of <extra_id_0>,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
Guinnes isn't a type of <extra_id_0>,Guinnes is a type of <extra_id_0>,['beer']
Licorice isn't a kind of <extra_id_0>,Licorice is a kind of <extra_id_0>,"['candy', 'herb', 'sweet']"
Octopi aren't <extra_id_0>,Octopi are <extra_id_0>,['molluscs']
Cannabis isn't a type of <extra_id_0>,Cannabis is a type of <extra_id_0>,"['plant', 'shrub']"
Name isn't proper <extra_id_0>,Name is proper <extra_id_0>,"['gee-bot', 'sanction', 'defamation', 'family', 'repute', 'Bob']"
People aren't <extra_id_0>,People are <extra_id_0>,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
Airbus isn't a kind of <extra_id_0>,Airbus is a kind of <extra_id_0>,"['airliner', 'airplane', 'company']"
Rhetoric isn't a kind of <extra_id_0>,Rhetoric is a kind of <extra_id_0>,"['communication', 'communicating', 'worker']"
Some herbs aren't <extra_id_0>,Some herbs are <extra_id_0>,"['plants', 'poisonis']"
Estrogen isn't a <extra_id_0>,Estrogen is a <extra_id_0>,['medicine']
Courage isn't a type of personality <extra_id_0>,Courage is a type of personality <extra_id_0>,"['confidence', 'resolve', 'spirit']"
Toads aren't <extra_id_0>,Toads are <extra_id_0>,"['amphibians', 'aphibians']"
Kindness isn't a <extra_id_0>,Kindness is a <extra_id_0>,"['good', 'action']"
Nazism isn't a type of <extra_id_0>,Nazism is a type of <extra_id_0>,"['dictatorship', 'fascism', 'socialism']"
Prosecutor isn't a type of <extra_id_0>,Prosecutor is a type of <extra_id_0>,"['official', 'attorney', 'lawyer']"
Accuracy isn't a <extra_id_0>,Accuracy is a <extra_id_0>,"['disposition', 'quality']"
The Taliban aren't <extra_id_0>,The Taliban are <extra_id_0>,['Islamists']
A mug isn't a type of <extra_id_0>,A mug is a type of <extra_id_0>,['containerful']
Toy isn't a type of fun <extra_id_0>,Toy is a type of fun <extra_id_0>,"['collectable', 'anything', 'device', 'replica']"
Soupd isn't <extra_id_0>,Soupd is <extra_id_0>,['food']
A tentacle isn't a kind of <extra_id_0>,A tentacle is a kind of <extra_id_0>,"['process', 'grip', 'appendage', 'holder']"
Photon isn't a kind of <extra_id_0>,Photon is a kind of <extra_id_0>,['boson']
Corporations aren't <extra_id_0>,Corporations are <extra_id_0>,['companies']
Cone isn't <extra_id_0>,Cone is <extra_id_0>,"['manifold', 'artifact', 'shape']"
Cyborgs aren't <extra_id_0>,Cyborgs are <extra_id_0>,['fantasy']
Xenon isn't a kind of <extra_id_0>,Xenon is a kind of <extra_id_0>,['gas']
An employee isn't a <extra_id_0>,An employee is a <extra_id_0>,"['person', 'worker', 'affiliate']"
Insurance doesn't imply a <extra_id_0>,Insurance implies a <extra_id_0>,"['security', 'insurance', 'financials']"
Timpani isn't a kind of <extra_id_0>,Timpani is a kind of <extra_id_0>,['drum']
Cinema isn't a <extra_id_0>,Cinema is a <extra_id_0>,['theater']
Foxes aren't <extra_id_0>,Foxes are <extra_id_0>,['canines']
A vase isn't a <extra_id_0>,A vase is a <extra_id_0>,['jar']
Ipomoea isn't a <extra_id_0>,Ipomoea is a <extra_id_0>,['plant']
Aggrotech isn't a kind of <extra_id_0>,Aggrotech is a kind of <extra_id_0>,['industrial']
Water isn't a type of <extra_id_0>,Water is a type of <extra_id_0>,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
Perennials aren't <extra_id_0>,Perennials are <extra_id_0>,"['plants', 'flowers', 'foliage']"
Monks aren't <extra_id_0>,Monks are <extra_id_0>,"['buddist', 'band']"
Citalopram isn't a kind of <extra_id_0>,Citalopram is a kind of <extra_id_0>,"['SSRI', 'drug']"
Birdwatching isn't a kind of <extra_id_0>,Birdwatching is a kind of <extra_id_0>,['hobby']
Some politicians aren't <extra_id_0>,Some politicians are <extra_id_0>,['puppets']
Bacteria aren't <extra_id_0>,Bacteria are <extra_id_0>,"['prokaryotes', 'organism', 'Prokaryotic', 'bacteria', 'microorganism', 'everywhere']"
Soccer isn't a <extra_id_0>,Soccer is a <extra_id_0>,"['sport', 'fun', 'football']"
Vocation isn't a type of <extra_id_0>,Vocation is a type of <extra_id_0>,"['occupation', 'job', 'labour', 'work']"
Rice isn't a kind of white <extra_id_0>,Rice is a kind of white <extra_id_0>,"['cereal', 'pasta', 'starches', 'grain', 'mob']"
A nutdriver isn't a type of <extra_id_0>,A nutdriver is a type of <extra_id_0>,['tool']
A mug isn't a <extra_id_0>,A mug is a <extra_id_0>,['containerful']
Weigela isn't a <extra_id_0>,Weigela is a <extra_id_0>,"['plant', 'shrub']"
Kraków isn't a kind of <extra_id_0>,Kraków is a kind of <extra_id_0>,['city']
Bermuda isn't a type of <extra_id_0>,Bermuda is a type of <extra_id_0>,"['country', 'grass']"
Bourbon isn't a type of <extra_id_0>,Bourbon is a type of <extra_id_0>,"['reactionary', 'liquor', 'ruler', 'whiskey', 'dynasty']"
Paper isn't <extra_id_0>,Paper is <extra_id_0>,"['material', 'flamable', 'medium', 'malliable', 'article', 'compilation', 'poreous']"
Well isn't water <extra_id_0>,Well is water <extra_id_0>,"['route', 'source', 'compartment', 'conduit', 'excavation', 'shaft', 'device', 'vessel']"
Atheism isn't the absence of <extra_id_0>,Atheism is the absence of <extra_id_0>,"['belief', 'unbelief']"
Veal isn't baby <extra_id_0>,Veal is baby <extra_id_0>,"['food', 'animal', 'beef', 'meat', 'cattle']"
A BBQ isn't a type of <extra_id_0>,A BBQ is a type of <extra_id_0>,"['grill', 'food']"
Runners aren't <extra_id_0>,Runners are <extra_id_0>,['humans']
Pedobear isn't a <extra_id_0>,Pedobear is a <extra_id_0>,['bear']
Nirvana isn't a <extra_id_0>,Nirvana is a <extra_id_0>,"['blessedness', 'Band']"
Christianity isn't in the business of blind <extra_id_0>,Christianity is in the business of blind <extra_id_0>,"['religion', 'faith']"
A gull isn't a <extra_id_0>,A gull is a <extra_id_0>,"['larid', 'bird', 'seabird']"
A jeweler isn't a <extra_id_0>,A jeweler is a <extra_id_0>,['merchant']
A mac isn't a type of <extra_id_0>,A mac is a type of <extra_id_0>,['computer']
Gannet isn't a <extra_id_0>,Gannet is a <extra_id_0>,['seabird']
Sponge isn't ocean <extra_id_0>,Sponge is ocean <extra_id_0>,"['animal', 'invertebrate']"
A brooch isn't a type of <extra_id_0>,A brooch is a type of <extra_id_0>,"['jewelry', 'pin']"
Amharic isn't a Semitic <extra_id_0>,Amharic is a Semitic <extra_id_0>,"['language', 'Semitic']"
IsA isn't a kind of <extra_id_0>,IsA is a kind of <extra_id_0>,['relation']
Uganda isn't a <extra_id_0>,Uganda is a <extra_id_0>,['subsahara']
Tongue isn't a kind of <extra_id_0>,Tongue is a kind of <extra_id_0>,"['underwater', 'projection', 'organ', 'chemoreceptor', 'articulator', 'muscle', 'flap', 'anatomy']"
Coke isn't a type of <extra_id_0>,Coke is a type of <extra_id_0>,"['cocaine', 'softdrink', 'fuel']"
Soap isn't <extra_id_0>,Soap is <extra_id_0>,"['company', 'bribe', 'toiletry', 'detergent']"
Cockroaches aren't <extra_id_0>,Cockroaches are <extra_id_0>,['insects']
Pity isn't a type of <extra_id_0>,Pity is a type of <extra_id_0>,"['emotion', 'misfortune']"
A caribou isn't a <extra_id_0>,A caribou is a <extra_id_0>,"['animal', 'deer', 'reindeer']"
Chick isn't a type of avian <extra_id_0>,Chick is a type of avian <extra_id_0>,['animal']
Wolverine isn't a kind of <extra_id_0>,Wolverine is a kind of <extra_id_0>,"['superhero', 'American', 'carnivore', 'mammal', 'mustelidae']"
Pie isn't a <extra_id_0>,Pie is a <extra_id_0>,"['pastry', 'semisolid']"
Piracy isn't a kind of <extra_id_0>,Piracy is a kind of <extra_id_0>,"['interfering', 'highjacking', 'action', 'robbery', 'act']"
A preacher isn't a kind of <extra_id_0>,A preacher is a kind of <extra_id_0>,"['comic', 'clergyman', 'person']"
Nuts aren't a <extra_id_0>,Nuts are a <extra_id_0>,['crunchy']
A backhoe isn't a kind of <extra_id_0>,A backhoe is a kind of <extra_id_0>,['machine']
Arsonists aren't <extra_id_0>,Arsonists are <extra_id_0>,['criminals']
An obstetrician isn't a kind of <extra_id_0>,An obstetrician is a kind of <extra_id_0>,"['doctor', 'specialist']"
A gladiola isn't a <extra_id_0>,A gladiola is a <extra_id_0>,['iris']
A magician isn't a <extra_id_0>,A magician is a <extra_id_0>,"['performer', 'book']"
Helichrysum isn't a <extra_id_0>,Helichrysum is a <extra_id_0>,['plant']
Rhea isn't a <extra_id_0>,Rhea is a <extra_id_0>,"['planet', 'bird', 'ratite']"
Many modern witches aren't <extra_id_0>,Many modern witches are <extra_id_0>,['wiccan']
A Volvo isn't a kind of <extra_id_0>,A Volvo is a kind of <extra_id_0>,"['car', 'company']"
Chilli isn't a type of <extra_id_0>,Chilli is a type of <extra_id_0>,['pepper']
Chartreuse isn't a <extra_id_0>,Chartreuse is a <extra_id_0>,"['beverage', 'liqueur']"
Silk isn't <extra_id_0>,Silk is <extra_id_0>,"['translucence', 'book', 'protein', 'fabric']"
Earth isn't our <extra_id_0>,Earth is our <extra_id_0>,"['location', 'material', 'element', 'thing', 'planet']"
Fish aren't <extra_id_0>,Fish are <extra_id_0>,"['seafood', 'rad', 'food', 'animals', 'person', 'vertebrate', 'purdy', 'animal', 'meat']"
King isn't <extra_id_0>,King is <extra_id_0>,"['sovereign', 'royalyty', 'royalty', 'station', 'monarch', 'checker', 'eminence', 'chessman']"
A comealong isn't a type of <extra_id_0>,A comealong is a type of <extra_id_0>,['tool']
DMT isn't a <extra_id_0>,DMT is a <extra_id_0>,"['dimethyltryptamine', 'psychedelic']"
Golf isn't a <extra_id_0>,Golf is a <extra_id_0>,['sport']
Traveller isn't a type of <extra_id_0>,Traveller is a type of <extra_id_0>,"['consumer', 'person']"
Darts aren't <extra_id_0>,Darts are <extra_id_0>,"['sport', 'arrows']"
Superstitions aren't <extra_id_0>,Superstitions are <extra_id_0>,['lies']
Disgust isn't an <extra_id_0>,Disgust is an <extra_id_0>,['dislike']
A deficit isn't a <extra_id_0>,A deficit is a <extra_id_0>,"['score', 'insufficiency', 'shortage', 'liabilities', 'lack']"
A baboon isn't a <extra_id_0>,A baboon is a <extra_id_0>,"['animal', 'monkey', 'mammal']"
Plutonium is a naturally-occurring <extra_id_0>,Plutonium is not a naturally-occurring <extra_id_0>,"['element', 'actinide']"
The Crips isn't a type of <extra_id_0>,The Crips is a type of <extra_id_0>,['gang']
A couch isn't a <extra_id_0>,A couch is a <extra_id_0>,"['furnitire', 'bed']"
Confidence isn't an <extra_id_0>,Confidence is an <extra_id_0>,"['security', 'emotion', 'secret', 'friendship', 'hopefulness']"
Kickboxing isn't a kind of <extra_id_0>,Kickboxing is a kind of <extra_id_0>,"['sport', 'boxing', 'fight']"
Monday isn't a <extra_id_0>,Monday is a <extra_id_0>,"['weekday', 'day']"
Kosovo isn't a kind of <extra_id_0>,Kosovo is a kind of <extra_id_0>,['country']
Gluon isn't a kind of <extra_id_0>,Gluon is a kind of <extra_id_0>,['boson']
Hut isn't a type of <extra_id_0>,Hut is a type of <extra_id_0>,['shelter']
A gundog isn't a kind of <extra_id_0>,A gundog is a kind of <extra_id_0>,['dog']
Weaver isn't a <extra_id_0>,Weaver is a <extra_id_0>,"['craftsman', 'oscine']"
Cattle aren't <extra_id_0>,Cattle are <extra_id_0>,"['animals', 'mammal', 'bovine']"
A banana isn't <extra_id_0>,A banana is <extra_id_0>,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
A watch isn't a <extra_id_0>,A watch is a <extra_id_0>,"['timepiece', 'surveillance', 'gear', 'shift', 'clock']"
Beauty isn't an <extra_id_0>,Beauty is an <extra_id_0>,"['exemplar', 'appearance']"
Scouts aren't <extra_id_0>,Scouts are <extra_id_0>,"['club', 'organisation', 'people']"
Automatism isn't a <extra_id_0>,Automatism is a <extra_id_0>,['reaction']
A reporter isn't a type of <extra_id_0>,A reporter is a type of <extra_id_0>,"['writer', 'communicator']"
A blowfish isn't a kind of <extra_id_0>,A blowfish is a kind of <extra_id_0>,['animal']
Tornado isn't a type of <extra_id_0>,Tornado is a type of <extra_id_0>,"['cyclone', 'weather', 'whirlwind']"
Floriade isn't a <extra_id_0>,Floriade is a <extra_id_0>,['convention']
Glenfiddich isn't a kind of <extra_id_0>,Glenfiddich is a kind of <extra_id_0>,"['beverage', 'scotch']"
Cows aren't <extra_id_0>,Cows are <extra_id_0>,"['domesticated', 'herbivorous', 'also']"
Christianity isn't a <extra_id_0>,Christianity is a <extra_id_0>,"['religion', 'faith']"
Potoroo isn't a kind of <extra_id_0>,Potoroo is a kind of <extra_id_0>,['marsupial']
Security isn't an <extra_id_0>,Security is an <extra_id_0>,"['safety', 'department', 'assets', 'guarantee', 'precaution', 'worker', 'fearlessness']"
Wool isn't a type of garment <extra_id_0>,Wool is a type of garment <extra_id_0>,"['coat', 'fabric']"
Redhat isn't a type of <extra_id_0>,Redhat is a type of <extra_id_0>,['Linux']
Fedora isn't a type of <extra_id_0>,Fedora is a type of <extra_id_0>,"['software', 'Linux', 'hat']"
Some doors aren't <extra_id_0>,Some doors are <extra_id_0>,"['band', 'archways', 'openings', 'rectangular-shaped']"
A robot isn't a type of <extra_id_0>,A robot is a type of <extra_id_0>,"['machine', 'automaton', 'slave']"
Fundamentalism isn't a type of <extra_id_0>,Fundamentalism is a type of <extra_id_0>,"['Protestantism', 'belief']"
Data isn't a <extra_id_0>,Data is a <extra_id_0>,"['collection', 'information']"
A pizzeria isn't a <extra_id_0>,A pizzeria is a <extra_id_0>,"['restaurant', 'shop']"
Wax isn't a kind of <extra_id_0>,Wax is a kind of <extra_id_0>,"['lipid', 'fuel', 'white']"
Stylist isn't a <extra_id_0>,Stylist is a <extra_id_0>,['artist']
Factory isn't a type of <extra_id_0>,Factory is a type of <extra_id_0>,['plant']
A bikini isn't a type of <extra_id_0>,A bikini is a type of <extra_id_0>,"['swimwear', 'swimsuit', 'attire']"
Psilocybin isn't a type of <extra_id_0>,Psilocybin is a type of <extra_id_0>,"['drug', 'hallucinogen']"
Scarves aren't <extra_id_0>,Scarves are <extra_id_0>,['neckware']
Grebe isn't a <extra_id_0>,Grebe is a <extra_id_0>,['waterfowl']
Everything isn't <extra_id_0>,Everything is <extra_id_0>,"['everything', 'data']"
Canoe isn't a kind of <extra_id_0>,Canoe is a kind of <extra_id_0>,"['ship', 'boat', 'vehicle']"
Blueberries aren't <extra_id_0>,Blueberries are <extra_id_0>,['food']
Diamond isn't a <extra_id_0>,Diamond is a <extra_id_0>,"['forever', 'carbon', 'solid', 'diamond', 'jewel', 'mineral', 'gem', 'artifact', 'semiconductor']"
A date isn't an <extra_id_0>,A date is an <extra_id_0>,"['companion', 'present', 'meeting', 'day']"
