prompt,opposite_sent,completion
 Replace the [MASK] with the correct word: Difference between a toy car and a hose: a hose isn't a kind of garden [MASK]. [MASK] is,Difference between a toy car and a hose: a hose is a kind of garden [MASK].,"['compartment', 'vehicle']"
 Replace the [MASK] with the correct word: Friday isn't a [MASK]. [MASK] is,Friday is a [MASK].,"['weekday', 'day']"
 Replace the [MASK] with the correct word: Noise isn't a type of [MASK]. [MASK] is,Noise is a type of [MASK].,"['incomprehensibility', 'manga', 'trouble', 'cry', 'sound']"
 Replace the [MASK] with the correct word: A resolution isn't a type of [MASK]. [MASK] is,A resolution is a type of [MASK].,"['harmony', 'breakdown', 'remission', 'decision', 'determination', 'policy', 'document']"
 Replace the [MASK] with the correct word: A television isn't a n electric [MASK]. [MASK] is,A television is a n electric [MASK].,"['TV', 'broadcasting']"
 Replace the [MASK] with the correct word: Sex isn't [MASK]. [MASK] is,Sex is [MASK].,"['bourgoise', 'book', 'copulation', 'class', 'species', 'feeling']"
 Replace the [MASK] with the correct word: Ark isn't zoo [MASK]. [MASK] is,Ark is zoo [MASK].,"['software', 'watercraft', 'chest', 'boat']"
 Replace the [MASK] with the correct word: Flint isn't a [MASK]. [MASK] is,Flint is a [MASK].,"['silica', 'stone']"
 Replace the [MASK] with the correct word: Camerun isn't a kind of [MASK]. [MASK] is,Camerun is a kind of [MASK].,['country']
 Replace the [MASK] with the correct word: Laughter isn't a type of happy [MASK]. [MASK] is,Laughter is a type of happy [MASK].,['activity']
 Replace the [MASK] with the correct word: Verbena isn't a [MASK]. [MASK] is,Verbena is a [MASK].,"['flower', 'dicotyledon', 'bush', 'plant']"
 Replace the [MASK] with the correct word: Bullying isn't a type of [MASK]. [MASK] is,Bullying is a type of [MASK].,"['aggression', 'hazard']"
 Replace the [MASK] with the correct word: Edinburgh isn't a kind of [MASK]. [MASK] is,Edinburgh is a kind of [MASK].,['city']
 Replace the [MASK] with the correct word: A roll isn't a kind of [MASK]. [MASK] is,A roll is a kind of [MASK].,"['propulsion', 'bread', 'film', 'list', 'gait', 'cylinder']"
 Replace the [MASK] with the correct word: A creator isn't a kind of [MASK]. [MASK] is,A creator is a kind of [MASK].,['person']
 Replace the [MASK] with the correct word: Argentina isn't a [MASK]. [MASK] is,Argentina is a [MASK].,"['country', 'river', 'state']"
 Replace the [MASK] with the correct word: Pike and bass aren't types of [MASK]. [MASK] is,Pike and bass are types of [MASK].,"['point', 'fish', 'weapon']"
 Replace the [MASK] with the correct word: An antidote isn't a [MASK]. [MASK] is,An antidote is a [MASK].,['remedy']
 Replace the [MASK] with the correct word: Prickly isn't a kind of [MASK]. [MASK] is,Prickly is a kind of [MASK].,['sensation']
 Replace the [MASK] with the correct word: Hollyhock isn't a [MASK]. [MASK] is,Hollyhock is a [MASK].,"['flower', 'mallow']"
 Replace the [MASK] with the correct word: Distillery isn't a kind of [MASK]. [MASK] is,Distillery is a kind of [MASK].,"['factory', 'plant']"
 Replace the [MASK] with the correct word: A bloodstone isn't a [MASK]. [MASK] is,A bloodstone is a [MASK].,['chalcedony']
 Replace the [MASK] with the correct word: Oktoberfest isn't a [MASK]. [MASK] is,Oktoberfest is a [MASK].,"['holiday', 'festival', 'lager']"
 Replace the [MASK] with the correct word: A grenade isn't a [MASK]. [MASK] is,A grenade is a [MASK].,['bomb']
 Replace the [MASK] with the correct word: Americans aren't [MASK]. [MASK] is,Americans are [MASK].,"['humans', 'people']"
 Replace the [MASK] with the correct word: Sapsucker isn't a [MASK]. [MASK] is,Sapsucker is a [MASK].,"['woodpecker', 'bird']"
 Replace the [MASK] with the correct word: Onions isn't a kind of [MASK]. [MASK] is,Onions is a kind of [MASK].,['plants']
 Replace the [MASK] with the correct word: A tricycle isn't a kind of [MASK]. [MASK] is,A tricycle is a kind of [MASK].,['transport']
 Replace the [MASK] with the correct word: Barbecue isn't a method of [MASK]. [MASK] is,Barbecue is a method of [MASK].,"['rack', 'cooking', 'cookout', 'dish']"
 Replace the [MASK] with the correct word: A centipede isn't a [MASK]. [MASK] is,A centipede is a [MASK].,"['animal', 'arthropod', 'myriapod']"
 Replace the [MASK] with the correct word: Salmanders aren't [MASK]. [MASK] is,Salmanders are [MASK].,['amphibians']
 Replace the [MASK] with the correct word: Plastic isn't [MASK]. [MASK] is,Plastic is [MASK].,"['material', 'recycleable', 'solid']"
 Replace the [MASK] with the correct word: A point isn't [MASK]. [MASK] is,A point is [MASK].,"['mark', 'disk', 'location', 'component', 'site', 'peninsula', 'end', 'aim', 'measure', 'taper', 'dimensionless', 'meaning', 'characteristic', 'promontory', 'loan', 'relevance']"
 Replace the [MASK] with the correct word: Impala aren't [MASK]. [MASK] is,Impala are [MASK].,"['gazelles', 'mammal', 'antelope']"
 Replace the [MASK] with the correct word: Shutome isn't a type of [MASK]. [MASK] is,Shutome is a type of [MASK].,['swordfish']
 Replace the [MASK] with the correct word: Osteospermum isn't a [MASK]. [MASK] is,Osteospermum is  a [MASK].,"['flower', 'plant']"
 Replace the [MASK] with the correct word: Ants aren't [MASK]. [MASK] is,Ants are [MASK].,"['book', 'animals', 'insects']"
 Replace the [MASK] with the correct word: Bankruptcy isn't a [MASK]. [MASK] is,Bankruptcy is a [MASK].,"['insolvency', 'failure', 'proceeding']"
 Replace the [MASK] with the correct word: Persian isn't one variety of [MASK]. [MASK] is,Persian is one variety of [MASK].,"['human', 'cat', 'Iranian']"
 Replace the [MASK] with the correct word: A ladder isn't a [MASK]. [MASK] is,A ladder is a [MASK].,"['tool', 'degree', 'route', 'stairs']"
 Replace the [MASK] with the correct word: A glock isn't a type of [MASK]. [MASK] is,A glock is a type of [MASK].,"['weapon', 'gun']"
 Replace the [MASK] with the correct word: Care isn't a [MASK]. [MASK] is,Care is a [MASK].,"['protection', 'predicament', 'repair', 'work']"
 Replace the [MASK] with the correct word: Scouts isn't a kind of [MASK]. [MASK] is,Scouts is a kind of [MASK].,"['club', 'organisation', 'people']"
 Replace the [MASK] with the correct word: Mail isn't a type of [MASK]. [MASK] is,Mail is a type of [MASK].,"['collection', 'communication', 'software', 'conveyance', 'message']"
 Replace the [MASK] with the correct word: A poodle isn't a [MASK]. [MASK] is,A poodle is a [MASK].,['dog']
 Replace the [MASK] with the correct word: A cold isn't a [MASK]. [MASK] is,A cold is a [MASK].,"['temperature', 'disease']"
 Replace the [MASK] with the correct word: Denim isn't a [MASK]. [MASK] is,Denim is a [MASK].,['fabric']
 Replace the [MASK] with the correct word: Time isn't [MASK]. [MASK] is,Time is [MASK].,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 Replace the [MASK] with the correct word: Autobahn isn't a kind of [MASK]. [MASK] is,Autobahn is a kind of [MASK].,"['expressway', 'Freeway']"
 Replace the [MASK] with the correct word: Werewolf isn't a type of [MASK]. [MASK] is,Werewolf is a type of [MASK].,"['monster', 'mammal']"
 Replace the [MASK] with the correct word: A politician isn't a [MASK]. [MASK] is,A politician is a [MASK].,"['human', 'leader', 'schemer', 'worker']"
 Replace the [MASK] with the correct word: Bacteria and Archaea aren't [MASK]. [MASK] is,Bacteria and Archaea are [MASK].,"['prokaryotes', 'archaea']"
 Replace the [MASK] with the correct word: Indonesia isn't an [MASK]. [MASK] is,Indonesia is an [MASK].,['country']
 Replace the [MASK] with the correct word: Paisley isn't a [MASK]. [MASK] is,Paisley is a [MASK].,['fabric']
 Replace the [MASK] with the correct word: Sewing isn't a [MASK]. [MASK] is,Sewing is a [MASK].,"['needlework', 'sewing', 'handicraft', 'craft', 'assembling']"
 Replace the [MASK] with the correct word: An opthamologist isn't a kind of [MASK]. [MASK] is,An opthamologist is a kind of [MASK].,['doctor']
 Replace the [MASK] with the correct word: The liver isn't a [MASK]. [MASK] is,The liver is a [MASK].,"['inhabitant', 'person', 'organ', 'colour']"
 Replace the [MASK] with the correct word: A goose isn't a kind of [MASK]. [MASK] is,A goose is a kind of [MASK].,"['anatidae', 'meat', 'poultry', 'bird']"
 Replace the [MASK] with the correct word: Snore isn't a [MASK]. [MASK] is,Snore is a [MASK].,"['noise', 'breathing']"
 Replace the [MASK] with the correct word: Ubuntu isn't a type of [MASK]. [MASK] is,Ubuntu is a type of [MASK].,"['software', 'Linux']"
 Replace the [MASK] with the correct word: An expectorant isn't a type of [MASK]. [MASK] is,An expectorant is a type of [MASK].,"['medicine', 'medication']"
 Replace the [MASK] with the correct word: Wii isn't a kind of [MASK]. [MASK] is,Wii is a kind of [MASK].,['console']
 Replace the [MASK] with the correct word: Burlap isn't a type of [MASK]. [MASK] is,Burlap is a type of [MASK].,"['cloth', 'sacking']"
 Replace the [MASK] with the correct word: Minister isn't a type of [MASK]. [MASK] is,Minister is a type of [MASK].,"['diplomat', 'clergyman', 'provost', 'executive']"
 Replace the [MASK] with the correct word: Attack isn't a type of [MASK]. [MASK] is,Attack is a type of [MASK].,"['affliction', 'degeneration', 'violence', 'criticism', 'turn', 'operation', 'beginning', 'crime']"
 Replace the [MASK] with the correct word: Time isn't a [MASK]. [MASK] is,Time is a [MASK].,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 Replace the [MASK] with the correct word: Life isn't a [MASK]. [MASK] is,Life is a [MASK].,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
 Replace the [MASK] with the correct word: Top isn't a type of [MASK]. [MASK] is,Top is a type of [MASK].,"['software', 'plaything', 'intensity', 'side', 'platform', 'turn', 'region', 'covering', 'quark']"
 Replace the [MASK] with the correct word: A comforter isn't like a fluffy [MASK]. [MASK] is,A comforter is like a fluffy [MASK].,"['bedding', 'textile', 'chair', 'device']"
 Replace the [MASK] with the correct word: Customers aren't [MASK]. [MASK] is,Customers are [MASK].,['people']
 Replace the [MASK] with the correct word: Books aren't [MASK]. [MASK] is,Books are [MASK].,"['anthologies', 'fiction', 'products', 'literature', 'fantasies']"
 Replace the [MASK] with the correct word: China isn't a kind of [MASK]. [MASK] is,China is a kind of [MASK].,"['dictatorship', 'country', 'porcelain']"
 Replace the [MASK] with the correct word: A paycheck isn't a [MASK]. [MASK] is,A paycheck is a [MASK].,['check']
 Replace the [MASK] with the correct word: Fish isn't [MASK]. [MASK] is,Fish is [MASK].,"['seafood', 'rad', 'food', 'animals', 'person', 'vertebrate', 'purdy', 'animal', 'meat']"
 Replace the [MASK] with the correct word: A cheetah isn't a [MASK]. [MASK] is,A cheetah is a [MASK].,['feline']
 Replace the [MASK] with the correct word: Tiger isn't vicious [MASK]. [MASK] is,Tiger is vicious [MASK].,"['felid', 'feline', 'mammal', 'person']"
 Replace the [MASK] with the correct word: A lab isn't a [MASK]. [MASK] is,A lab is a [MASK].,"['river', 'workplace']"
 Replace the [MASK] with the correct word: Joy isn't a type of [MASK]. [MASK] is,Joy is a type of [MASK].,"['emotion', 'album', 'magazine']"
 Replace the [MASK] with the correct word: A beagle isn't a type of [MASK]. [MASK] is,A beagle is a type of [MASK].,"['dog', 'hound', 'software']"
 Replace the [MASK] with the correct word: My life isn't a [MASK]. [MASK] is,My life is a [MASK].,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
 Replace the [MASK] with the correct word: Ibuprofen isn't a kind of [MASK]. [MASK] is,Ibuprofen is a kind of [MASK].,"['nsaid', 'painkiller', 'drug', 'medicine']"
 Replace the [MASK] with the correct word: Plato didn't be a [MASK]. [MASK] is,Plato was a [MASK].,"['philosopher', 'person']"
 Replace the [MASK] with the correct word: A vocalist isn't a kind of [MASK]. [MASK] is,A vocalist is a kind of [MASK].,['musician']
 Replace the [MASK] with the correct word: The prodigy didn't be a [MASK]. [MASK] is,The prodigy was a [MASK].,"['exemplar', 'genius']"
 Replace the [MASK] with the correct word: Talc isn't a [MASK]. [MASK] is,Talc is a [MASK].,['mineral']
 Replace the [MASK] with the correct word: A microwave isn't an [MASK]. [MASK] is,A microwave is an [MASK].,['wave']
 Replace the [MASK] with the correct word: Cat isn't a kind of [MASK]. [MASK] is,Cat is a kind of [MASK].,"['felis', 'gossip', 'book', 'Animal', 'noun', 'Talisman', 'mammal', 'feline', 'quadriped', 'woman']"
 Replace the [MASK] with the correct word: A person does want to be [MASK]. [MASK] is,A person doesn't want to be [MASK].,"['lonley', 'organism', 'sentient', 'human', 'Human']"
 Replace the [MASK] with the correct word: Underwear isn't a kind of [MASK]. [MASK] is,Underwear is a kind of [MASK].,"['clothing', 'underclothes', 'undergarment', 'garment']"
 Replace the [MASK] with the correct word: Maine isn't a [MASK]. [MASK] is,Maine is a [MASK].,['river']
 Replace the [MASK] with the correct word: Focaccia isn't a type of [MASK]. [MASK] is,Focaccia is a type of [MASK].,"['food', 'flatbread']"
 Replace the [MASK] with the correct word: A rock isn't [MASK]. [MASK] is,A rock is [MASK].,"['material', 'hard', 'music', 'lurch']"
 Replace the [MASK] with the correct word: A hip isn't a kind of [MASK]. [MASK] is,A hip is a kind of [MASK].,"['joint', 'anatomy', 'fruit', 'botany']"
 Replace the [MASK] with the correct word: An emu isn't an [MASK]. [MASK] is,An emu is an [MASK].,"['animal', 'bird', 'ratite']"
 Replace the [MASK] with the correct word: Giraffes aren't [MASK]. [MASK] is,Giraffes are [MASK].,"['only', 'herbivores']"
 Replace the [MASK] with the correct word: Dog isn't a kind of [MASK]. [MASK] is,Dog is a kind of [MASK].,"['pet', 'shedding', 'canine', 'canis', 'artwork', 'mammal', 'quadriped', 'chap', 'canid']"
 Replace the [MASK] with the correct word: Asatru isn't a kind of [MASK]. [MASK] is,Asatru is a kind of [MASK].,['Paganism']
 Replace the [MASK] with the correct word: A retriever isn't a type of [MASK]. [MASK] is,A retriever is a type of [MASK].,"['dog', 'pet']"
 Replace the [MASK] with the correct word: Fingers aren't [MASK]. [MASK] is,Fingers are [MASK].,['limbs']
 Replace the [MASK] with the correct word: Medicine isn't a [MASK]. [MASK] is,Medicine is a [MASK].,"['treatment', 'drug']"
 Replace the [MASK] with the correct word: A toaster isn't a [MASK]. [MASK] is,A toaster is a [MASK].,['supporter']
 Replace the [MASK] with the correct word: Fox isn't a type of furry [MASK]. [MASK] is,Fox is a type of furry [MASK].,"['Algonquin', 'meat-eating', 'canine', 'mammal', 'scavenger', 'fur', 'Algonquian', 'canid']"
 Replace the [MASK] with the correct word: Minerals aren't [MASK]. [MASK] is,Minerals are [MASK].,['chemicals']
 Replace the [MASK] with the correct word: Grammar isn't a kind of [MASK]. [MASK] is,Grammar is a kind of [MASK].,['structure']
 Replace the [MASK] with the correct word: Beet isn't red [MASK]. [MASK] is,Beet is red [MASK].,['vegetable']
 Replace the [MASK] with the correct word: A terrorist isn't [MASK]. [MASK] is,A terrorist is [MASK].,"['criminal', 'person', 'radical', 'human', 'delusional']"
 Replace the [MASK] with the correct word: Jumbojet isn't a kind of [MASK]. [MASK] is,Jumbojet is a kind of [MASK].,"['jet', 'jetliner', 'airplane']"
 Replace the [MASK] with the correct word: Some humans aren't [MASK]. [MASK] is,Some humans are [MASK].,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
 Replace the [MASK] with the correct word: Madonna isn't a kind of [MASK]. [MASK] is,Madonna is a kind of [MASK].,"['album', 'person', 'singer']"
 Replace the [MASK] with the correct word: Bacteria and Archaea aren't [MASK]. [MASK] is,Bacteria and Archaea are [MASK].,"['prokaryotes', 'organism', 'Prokaryotic', 'bacteria', 'microorganism', 'everywhere']"
 Replace the [MASK] with the correct word: Pythons aren't [MASK]. [MASK] is,Pythons are [MASK].,['snakes']
 Replace the [MASK] with the correct word: Base isn't a kind of [MASK]. [MASK] is,Base is a kind of [MASK].,"['location', 'part', 'electrode', 'flank', 'compound', 'chemical', 'support', 'website', 'bottom', 'number', 'ingredient']"
 Replace the [MASK] with the correct word: Impatiens aren't [MASK]. [MASK] is,Impatiens are [MASK].,"['annuals', 'plant']"
 Replace the [MASK] with the correct word: Everybody isn't [MASK]. [MASK] is,Everybody is [MASK].,['equeal']
 Replace the [MASK] with the correct word: Horses aren't [MASK]. [MASK] is,Horses are [MASK].,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
 Replace the [MASK] with the correct word: A cabinetmaker isn't a type of [MASK]. [MASK] is,A cabinetmaker is a type of [MASK].,"['woodworker', 'tradesman']"
 Replace the [MASK] with the correct word: Bags aren't [MASK]. [MASK] is,Bags are [MASK].,['containers']
 Replace the [MASK] with the correct word: Crab isn't [MASK]. [MASK] is,Crab is [MASK].,"['shellfish', 'crustacean', 'person', 'rowing', 'grouch']"
 Replace the [MASK] with the correct word: Marmite isn't [MASK]. [MASK] is,Marmite is [MASK].,"['pot', 'savoury', 'soup']"
 Replace the [MASK] with the correct word: A human isn't a kind of [MASK]. [MASK] is,A human is a kind of [MASK].,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 Replace the [MASK] with the correct word: MozillaQuest aren't [MASK]. [MASK] is,MozillaQuest are [MASK].,['liars']
 Replace the [MASK] with the correct word: A handgun isn't a dangerous [MASK]. [MASK] is,A handgun is a dangerous [MASK].,"['weapon', 'attack', 'sidearm']"
 Replace the [MASK] with the correct word: Trees aren't [MASK]. [MASK] is,Trees are [MASK].,['perennials']
 Replace the [MASK] with the correct word: Situation: norway isn't a [MASK]. [MASK] is,Situation: norway is a [MASK].,['country']
 Replace the [MASK] with the correct word: Skeleton isn't a kind of [MASK]. [MASK] is,Skeleton is a kind of [MASK].,"['sport', 'minimum', 'tobogganing', 'organ', 'scandal']"
 Replace the [MASK] with the correct word: Gold isn't a [MASK]. [MASK] is,Gold is a [MASK].,"['colour', 'wealth', 'invaluableness', 'heavy', 'COMEDY', 'metal']"
 Replace the [MASK] with the correct word: Parsnips aren't [MASK]. [MASK] is,Parsnips are [MASK].,['vegetables']
 Replace the [MASK] with the correct word: Wall isn't a type of [MASK]. [MASK] is,Wall is a type of [MASK].,"['difficulty', 'site', 'partition', 'album', 'object', 'fence', 'layer', 'stratum']"
 Replace the [MASK] with the correct word: Some people don't suffer from disorders of the pituitary [MASK]. [MASK] is,Some people suffer from disorders of the pituitary [MASK].,['gland']
 Replace the [MASK] with the correct word: Attributes aren't [MASK]. [MASK] is,Attributes are [MASK].,"['properties', 'qualities']"
 Replace the [MASK] with the correct word: Ericsson isn't a Swedish [MASK]. [MASK] is,Ericsson is a Swedish [MASK].,['company']
 Replace the [MASK] with the correct word: A hoodie isn't a kind of [MASK]. [MASK] is,A hoodie is a kind of [MASK].,['jacket.']
 Replace the [MASK] with the correct word: Goats aren't [MASK]. [MASK] is,Goats are [MASK].,['mammals']
 Replace the [MASK] with the correct word: A vintner isn't a kind of [MASK]. [MASK] is,A vintner is a kind of [MASK].,"['merchant', 'person', 'maker']"
 Replace the [MASK] with the correct word: Sweden isn't a [MASK]. [MASK] is,Sweden is a [MASK].,['country']
 Replace the [MASK] with the correct word: Calibrachoa isn't a [MASK]. [MASK] is,Calibrachoa is a [MASK].,['plant']
 Replace the [MASK] with the correct word: Madonna isn't a [MASK]. [MASK] is,Madonna is a [MASK].,"['album', 'person', 'singer']"
 Replace the [MASK] with the correct word: Spiderman isn't a kind of [MASK]. [MASK] is,Spiderman is a kind of [MASK].,"['human', 'superhero']"
 Replace the [MASK] with the correct word: An estate isn't a type of [MASK]. [MASK] is,An estate is a type of [MASK].,"['class', 'property', 'car']"
 Replace the [MASK] with the correct word: Van isn't a type of truck [MASK]. [MASK] is,Van is a type of truck [MASK].,['automobile']
 Replace the [MASK] with the correct word: Sheep isn't [MASK]. [MASK] is,Sheep is [MASK].,"['bovid', 'animals', 'mammals', 'simpleton', 'mammal', 'animal', 'ruminant', 'follower']"
 Replace the [MASK] with the correct word: Anime isn't a kind of [MASK]. [MASK] is,Anime is a kind of [MASK].,"['video', 'cartoon', 'animation']"
 Replace the [MASK] with the correct word: Jesus didn't be a [MASK]. [MASK] is,Jesus was a [MASK].,['person']
 Replace the [MASK] with the correct word: England isn't a [MASK]. [MASK] is,England is a [MASK].,['britain']
 Replace the [MASK] with the correct word: Love isn't an [MASK]. [MASK] is,Love is an [MASK].,"['score', 'forever', '...responsibility', 'emotion', 'like', 'attachment', 'affection', '""magic""', 'object', 'bond']"
 Replace the [MASK] with the correct word: Ursines aren't [MASK]. [MASK] is,Ursines are [MASK].,['bears']
 Replace the [MASK] with the correct word: Zebras aren't [MASK]. [MASK] is,Zebras are [MASK].,"['animals', 'equines']"
 Replace the [MASK] with the correct word: A latch isn't a kind of [MASK]. [MASK] is,A latch is a kind of [MASK].,"['lock', 'fastener', 'catch']"
 Replace the [MASK] with the correct word: Cheering isn't a [MASK]. [MASK] is,Cheering is a [MASK].,"['vocalizing', 'encouragement', 'support']"
 Replace the [MASK] with the correct word: Wyoming isn't a [MASK]. [MASK] is,Wyoming is a [MASK].,"['ship', 'state']"
 Replace the [MASK] with the correct word: Rooms aren't [MASK]. [MASK] is,Rooms are [MASK].,"['bedrooms', 'containers', 'museum']"
 Replace the [MASK] with the correct word: A backdrop isn't a [MASK]. [MASK] is,A backdrop is a [MASK].,['scenery']
 Replace the [MASK] with the correct word: An overflow isn't a [MASK]. [MASK] is,An overflow is a [MASK].,['flow']
 Replace the [MASK] with the correct word: An alpaca isn't a type of [MASK]. [MASK] is,An alpaca is a type of [MASK].,"['fabric', 'wool', 'mammal', 'llama', 'reptile']"
 Replace the [MASK] with the correct word: Orthodox isn't a kind of [MASK]. [MASK] is,Orthodox is a kind of [MASK].,"['Judaism', 'Christian']"
 Replace the [MASK] with the correct word: Crampons aren't [MASK]. [MASK] is,Crampons are [MASK].,['metal']
 Replace the [MASK] with the correct word: Some people don't have dogs as [MASK]. [MASK] is,Some people have dogs as [MASK].,"['dogs', 'mammals', 'pets']"
 Replace the [MASK] with the correct word: An icosahedron isn't a [MASK]. [MASK] is,An icosahedron is a [MASK].,['polyhedron']
 Replace the [MASK] with the correct word: A supervisor isn't a [MASK]. [MASK] is,A supervisor is a [MASK].,"['superior', 'person']"
 Replace the [MASK] with the correct word: Astronomy isn't star [MASK]. [MASK] is,Astronomy is star [MASK].,"['science', 'physics']"
 Replace the [MASK] with the correct word: Fricasseeing isn't a type of [MASK]. [MASK] is,Fricasseeing is a type of [MASK].,['stewing']
 Replace the [MASK] with the correct word: An auk isn't a type of [MASK]. [MASK] is,An auk is a type of [MASK].,"['animal', 'bird', 'seabird']"
 Replace the [MASK] with the correct word: Situation: Metallica isn't a heavy metal [MASK]. [MASK] is,Situation: Metallica is a heavy metal [MASK].,['band']
 Replace the [MASK] with the correct word: Naan isn't a type of [MASK]. [MASK] is,Naan is a type of [MASK].,"['food', 'flatbread']"
 Replace the [MASK] with the correct word: A rasp isn't a type of [MASK]. [MASK] is,A rasp is a type of [MASK].,"['utterance', 'file', 'tool']"
 Replace the [MASK] with the correct word: Tool isn't a type of [MASK]. [MASK] is,Tool is a type of [MASK].,"['implement', 'band', 'device']"
 Replace the [MASK] with the correct word: A bagel isn't a [MASK]. [MASK] is,A bagel is a [MASK].,"['bun', 'food', 'bread']"
 Replace the [MASK] with the correct word: Kettles aren't [MASK]. [MASK] is,Kettles are [MASK].,['pots']
 Replace the [MASK] with the correct word: Mosquito isn't [MASK]. [MASK] is,Mosquito is [MASK].,"['midge', 'parasite', 'gnat', 'insect', 'vermin']"
 Replace the [MASK] with the correct word: Muppets aren't [MASK]. [MASK] is,Muppets are [MASK].,['puppets']
 Replace the [MASK] with the correct word: Spagetti isn't a kind of [MASK]. [MASK] is,Spagetti is a kind of [MASK].,['pasta']
 Replace the [MASK] with the correct word: A cockatoo isn't a [MASK]. [MASK] is,A cockatoo is a [MASK].,"['parrot', 'bird']"
 Replace the [MASK] with the correct word: Clock isn't a kind of [MASK]. [MASK] is,Clock is a kind of [MASK].,"['timepiece', 'device']"
 Replace the [MASK] with the correct word: Kohlrabi isn't a [MASK]. [MASK] is,Kohlrabi is a [MASK].,['crucifer']
 Replace the [MASK] with the correct word: A bottle isn't a kind of [MASK]. [MASK] is,A bottle is a kind of [MASK].,"['casing', 'containerful', 'vessel', 'container']"
 Replace the [MASK] with the correct word: Hash isn't a [MASK]. [MASK] is,Hash is a [MASK].,['dish']
 Replace the [MASK] with the correct word: Cheese isn't a [MASK]. [MASK] is,Cheese is a [MASK].,"['software', 'mixture', 'magazine', 'food']"
 Replace the [MASK] with the correct word: Roti isn't a type of [MASK]. [MASK] is,Roti is a type of [MASK].,['flatbread']
 Replace the [MASK] with the correct word: The database isn't a [MASK]. [MASK] is,The database is a [MASK].,"['sks', 'information', 'ibo']"
 Replace the [MASK] with the correct word: A buckle isn't a kind of [MASK]. [MASK] is,A buckle is a kind of [MASK].,"['connector', 'deform', 'fastener']"
 Replace the [MASK] with the correct word: Some problems aren't [MASK]. [MASK] is,Some problems are [MASK].,['unsolvable']
 Replace the [MASK] with the correct word: A mineral isn't a type of [MASK]. [MASK] is,A mineral is a type of [MASK].,"['matter', 'material', 'generally', 'crystal']"
 Replace the [MASK] with the correct word: Emerald isn't a type of [MASK]. [MASK] is,Emerald is a type of [MASK].,"['jewel', 'mineral', 'beryl', 'green']"
 Replace the [MASK] with the correct word: Vineyard isn't a kind of [MASK]. [MASK] is,Vineyard is a kind of [MASK].,"['place', 'farm']"
 Replace the [MASK] with the correct word: Fudge isn't a type of chocolate [MASK]. [MASK] is,Fudge is a type of chocolate [MASK].,"['candy', 'dessert', 'brown', 'food']"
 Replace the [MASK] with the correct word: A CEO isn't a type of [MASK]. [MASK] is,A CEO is a type of [MASK].,"['employee', 'person']"
 Replace the [MASK] with the correct word: Mops aren't [MASK]. [MASK] is,Mops are [MASK].,"['tools', 'mammal']"
 Replace the [MASK] with the correct word: Cyprus isn't an [MASK]. [MASK] is,Cyprus is an [MASK].,"['country', 'state']"
 Replace the [MASK] with the correct word: Lyre isn't old [MASK]. [MASK] is,Lyre is old [MASK].,['harp']
 Replace the [MASK] with the correct word: An actress isn't a kind of a [MASK]. [MASK] is,An actress is a kind of a [MASK].,"['person', 'actor']"
 Replace the [MASK] with the correct word: A pullover isn't a kind of [MASK]. [MASK] is,A pullover is a kind of [MASK].,"['dress', 'sweater']"
 Replace the [MASK] with the correct word: Gorilla isn't [MASK]. [MASK] is,Gorilla is [MASK].,"['animal', 'hominid', 'mammal']"
 Replace the [MASK] with the correct word: Barbiturates aren't [MASK]. [MASK] is,Barbiturates are [MASK].,['salts']
 Replace the [MASK] with the correct word: IED isn't a kind of [MASK]. [MASK] is,IED is a kind of [MASK].,['explosive']
 Replace the [MASK] with the correct word: Sugar isn't a type of organic [MASK]. [MASK] is,Sugar is a type of organic [MASK].,"['software', 'carbohydrate', 'crystal', 'translucence', 'sweetening']"
 Replace the [MASK] with the correct word: Eyeshadow isn't a type of [MASK]. [MASK] is,Eyeshadow is a type of [MASK].,['makeup']
 Replace the [MASK] with the correct word: Banana isn't a kind of [MASK]. [MASK] is,Banana is a kind of [MASK].,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
 Replace the [MASK] with the correct word: Accident isn't a kind of [MASK]. [MASK] is,Accident is a kind of [MASK].,"['mishap', 'happening']"
 Replace the [MASK] with the correct word: Mine isn't a type of [MASK]. [MASK] is,Mine is a type of [MASK].,"['facility', 'bomb', 'excavation']"
 Replace the [MASK] with the correct word: War isn't a [MASK]. [MASK] is,War is a [MASK].,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
 Replace the [MASK] with the correct word: Cinnamon isn't a [MASK]. [MASK] is,Cinnamon is a [MASK].,"['spice', 'laurel', 'bark']"
 Replace the [MASK] with the correct word: Albatross isn't a [MASK]. [MASK] is,Albatross is a [MASK].,"['bird', 'seabird', 'animal', 'hindrance', 'ship']"
